stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station
"ch:1:sloid:90652::50","Horgen, Glärnischhof","47.25468086","8.60954352","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590652&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90652::51","Horgen, Glärnischhof","47.25452842","8.60951657","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590652&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90653::50","Horgen, Käpfnach","47.25448574","8.61611918","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590653&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90653::51","Horgen, Käpfnach","47.25455891","8.61532867","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590653&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90654::50","Horgen, Meilibach","47.25141874","8.62605455","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590654&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90654::51","Horgen, Meilibach","47.25126020","8.62627913","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590654&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90655::52","Horgen, Panorama","47.25815616","8.58710360","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590655&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90656::50","Horgen, Rietli","47.25340042","8.61934414","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590656&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90656::51","Horgen, Rietli","47.25319921","8.61956871","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590656&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
"ch:1:sloid:90657::52","Horgen, Risi/Dow","47.25098580","8.61786192","http://online.fahrplan.zvv.ch/bin/stboard.exe/dn?selectDate=today&time=now&input=8590657&maxJourneys=10&boardType=dep&productsFilter=0000101111&start=yes ","",""
