from_stop_id,to_stop_id,transfer_type,min_transfer_time
"ch:1:sloid:3066::1","ch:1:sloid:3066::0","2","120"
"ch:1:sloid:3066::1","ch:1:sloid:76226::50","2","180"
"ch:1:sloid:3066::1","ch:1:sloid:76226::51","2","180"
"ch:1:sloid:3066::1","ch:1:sloid:76226::53","2","180"
"ch:1:sloid:3067::0","ch:1:sloid:3067::1","2","120"
"ch:1:sloid:3067::0","ch:1:sloid:6638::50","2","120"
"ch:1:sloid:3067::0","ch:1:sloid:6638::51","2","120"
"ch:1:sloid:3067::0","ch:1:sloid:6638::80","2","120"
"ch:1:sloid:3067::0","ch:1:sloid:91028::50","2","60"
"ch:1:sloid:3067::0","ch:1:sloid:91028::51","2","180"
"ch:1:sloid:3067::0","ch:1:sloid:91028::52","2","180"
"ch:1:sloid:3067::1","ch:1:sloid:3067::0","2","120"
"ch:1:sloid:3067::1","ch:1:sloid:6638::50","2","120"
"ch:1:sloid:3067::1","ch:1:sloid:6638::51","2","120"
"ch:1:sloid:3067::1","ch:1:sloid:6638::80","2","120"
"ch:1:sloid:3067::1","ch:1:sloid:91028::50","2","60"
"ch:1:sloid:3067::1","ch:1:sloid:91028::51","2","180"
"ch:1:sloid:3067::1","ch:1:sloid:91028::52","2","180"
"ch:1:sloid:3068::0","ch:1:sloid:3068::1","2","120"
"ch:1:sloid:3068::0","ch:1:sloid:90711::50","2","120"
"ch:1:sloid:3068::0","ch:1:sloid:90711::82","2","120"
"ch:1:sloid:3068::1","ch:1:sloid:3068::0","2","120"
"ch:1:sloid:3068::1","ch:1:sloid:90711::50","2","120"
"ch:1:sloid:3068::1","ch:1:sloid:90711::82","2","120"
"ch:1:sloid:3074::0","ch:1:sloid:3074::1","2","0"
"ch:1:sloid:3074::0","ch:1:sloid:3074::50","2","0"
"ch:1:sloid:3074::0","ch:1:sloid:3074::51","2","0"
"ch:1:sloid:3074::1","ch:1:sloid:3074::0","2","0"
"ch:1:sloid:3074::1","ch:1:sloid:3074::50","2","0"
"ch:1:sloid:3074::1","ch:1:sloid:3074::51","2","0"
"ch:1:sloid:3074::50","ch:1:sloid:3074::0","2","0"
"ch:1:sloid:3074::50","ch:1:sloid:3074::1","2","0"
"ch:1:sloid:3074::50","ch:1:sloid:3074::51","2","0"
"ch:1:sloid:3074::51","ch:1:sloid:3074::0","2","0"
"ch:1:sloid:3074::51","ch:1:sloid:3074::1","2","0"
"ch:1:sloid:3074::51","ch:1:sloid:3074::50","2","0"
"ch:1:sloid:3075::0","ch:1:sloid:3075::1","2","120"
"ch:1:sloid:3075::0","ch:1:sloid:76225::50","2","180"
"ch:1:sloid:3075::0","ch:1:sloid:76225::51","2","180"
"ch:1:sloid:3075::1","ch:1:sloid:3075::0","2","120"
"ch:1:sloid:3075::1","ch:1:sloid:76225::50","2","180"
"ch:1:sloid:3075::1","ch:1:sloid:76225::51","2","180"
"ch:1:sloid:3077::0","ch:1:sloid:3077::1","2","120"
"ch:1:sloid:3077::0","ch:1:sloid:91023::50","2","180"
"ch:1:sloid:3077::0","ch:1:sloid:91023::51","2","300"
"ch:1:sloid:3077::0","ch:1:sloid:91903::50","2","300"
"ch:1:sloid:3077::0","ch:1:sloid:91903::51","2","300"
"ch:1:sloid:3077::1","ch:1:sloid:3077::0","2","120"
"ch:1:sloid:3077::1","ch:1:sloid:91023::50","2","180"
"ch:1:sloid:3077::1","ch:1:sloid:91023::51","2","300"
"ch:1:sloid:3077::1","ch:1:sloid:91903::50","2","300"
"ch:1:sloid:3077::1","ch:1:sloid:91903::51","2","300"
"ch:1:sloid:3078::0","ch:1:sloid:3078::1","2","120"
"ch:1:sloid:3078::0","ch:1:sloid:90879::50","2","180"
"ch:1:sloid:3078::0","ch:1:sloid:90879::51","2","180"
